id,name,status,lastVerified,brand,street,locality,state,zip,citySlug,cityName,lat,lng,modalities,access,dropIn,dayPass,membershipMo,priceFrom,plungeF_low,plungeF_high,saunaF_low,saunaF_high,hours,website,bookingUrl,phone,url
"jeju-sauna-atlanta-ga","Jeju Sauna","community","2026-08-16",,"3555 Gwinnett Pl Dr NW","Duluth","GA","30096","atlanta-ga","Atlanta","33.955837","-84.131087","traditional_sauna|steam_room","communal",,"40",,"",,,,,"Saunas/bathhouse open 24 hours; other services keep shorter hours","https://jejusauna.com/",,"+1-678-336-7414","https://findsaunaplunge.com/venue/jeju-sauna-atlanta-ga/"
"spa-land-georgia-atlanta-ga","Spa Land Georgia","community","2026-08-16",,"2645 N Berkeley Lake Rd NW, Building C","Duluth","GA","30096","atlanta-ga","Atlanta","33.97336","-84.156614","cold_plunge|traditional_sauna|steam_room","communal",,,,"",,,,,,"https://spalandga.com/",,"+1-770-864-9934","https://findsaunaplunge.com/venue/spa-land-georgia-atlanta-ga/"
"roman-holiday-sauna-atlanta-ga","Roman Holiday Sauna","community","2026-08-16",,"5979 Buford Hwy NE B7","Doraville","GA","30340","atlanta-ga","Atlanta","33.913597","-84.262311","traditional_sauna|steam_room","unpublished",,"35",,"",,,,,"Open every day, 24 hours","https://romanholidaysauna.com/",,"+1-678-691-6584","https://findsaunaplunge.com/venue/roman-holiday-sauna-atlanta-ga/"
"restore-hyper-wellness-vinings-atlanta-ga","Restore Hyper Wellness - Vinings","community","2026-08-16",,"4300 Paces Ferry Road Southeast, Suite 240","Atlanta","GA","30339","atlanta-ga","Atlanta","33.865503","-84.4656","infrared_sauna|cryotherapy|compression|red_light","unpublished",,,,"",,,,,"Monday-Friday 10AM-7PM, Saturday 9AM-5PM, Sunday 11AM-5PM","https://www.restore.com/locations/ga-atlanta-vinings-ga004","https://www.restore.com/locations/ga-atlanta-vinings-ga004","+1-678-403-8560","https://findsaunaplunge.com/venue/restore-hyper-wellness-vinings-atlanta-ga/"
"restore-hyper-wellness-westside-village-atlanta-ga","Restore Hyper Wellness - Westside Village","community","2026-08-16",,"2250 Marietta Blvd NW, Suite 208","Atlanta","GA","30318","atlanta-ga","Atlanta","33.817809","-84.448751","infrared_sauna|cryotherapy|compression|red_light","unpublished",,,,"",,,,,"Monday-Thursday 10AM-6:30PM, Friday 10AM-6PM, Saturday 9:30AM-5PM, Sunday 11AM-5PM","https://www.restore.com/locations/ga-atlanta-westside-village-ga003","https://www.restore.com/locations/ga-atlanta-westside-village-ga003","+1-678-973-0388","https://findsaunaplunge.com/venue/restore-hyper-wellness-westside-village-atlanta-ga/"
"restore-hyper-wellness-midtown-atlanta-ga","Restore Hyper Wellness - Midtown","community","2026-08-16",,"931 Monroe Dr NE, Unit 111A","Atlanta","GA","30308","atlanta-ga","Atlanta","33.779877","-84.369209","infrared_sauna|cryotherapy|compression|red_light","unpublished",,,,"",,,,,"Monday-Thursday 10AM-7PM, Friday 10AM-6PM, Saturday 9AM-5PM, Sunday 10AM-4PM","https://www.restore.com/locations/ga-atlanta-midtown-ga038","https://www.restore.com/locations/ga-atlanta-midtown-ga038","+1-404-836-7994","https://findsaunaplunge.com/venue/restore-hyper-wellness-midtown-atlanta-ga/"
"restore-hyper-wellness-dunwoody-atlanta-ga","Restore Hyper Wellness - Dunwoody","community","2026-08-16",,"4706 Ashford Dunwoody Road, Building B1, Suite 200","Dunwoody","GA","30338","atlanta-ga","Atlanta","33.933821","-84.337763","infrared_sauna|cryotherapy|compression|red_light","unpublished",,,,"",,,,,"Monday-Thursday 10AM-7PM, Friday 10AM-6PM, Saturday 9AM-5PM, Sunday 10AM-4PM","https://www.restore.com/locations/ga-dunwoody-ga028","https://www.restore.com/locations/ga-dunwoody-ga028","+1-404-602-0114","https://findsaunaplunge.com/venue/restore-hyper-wellness-dunwoody-atlanta-ga/"
"restore-hyper-wellness-alpharetta-atlanta-ga","Restore Hyper Wellness - Alpharetta","community","2026-08-16",,"7155 Avalon Way","Alpharetta","GA","30009","atlanta-ga","Atlanta","34.070857","-84.274727","infrared_sauna|cryotherapy|compression|red_light","unpublished",,,,"",,,,,"Monday-Friday 10AM-7PM, Saturday 9AM-5PM, Sunday 11AM-5PM","https://www.restore.com/locations/ga-alpharetta-ga002","https://www.restore.com/locations/ga-alpharetta-ga002","+1-470-361-2055","https://findsaunaplunge.com/venue/restore-hyper-wellness-alpharetta-atlanta-ga/"
"perspire-sauna-studio-sandy-springs-atlanta-ga","Perspire Sauna Studio - Sandy Springs","community","2026-08-16",,"6500 Aria Blvd Ste 200","Sandy Springs","GA","30328","atlanta-ga","Atlanta",,,"infrared_sauna|red_light","unpublished",,,,"",,,,,"Monday-Thursday 8:00 AM - 8:00 PM","https://www.perspiresaunastudio.com/ga/sandy-springs/",,"+1-404-844-4978","https://findsaunaplunge.com/venue/perspire-sauna-studio-sandy-springs-atlanta-ga/"
"icryo-marietta-atlanta-ga","iCRYO Marietta","community","2026-08-16",,"2745 Sandy Plains Rd, Suite 105","Marietta","GA","30066","atlanta-ga","Atlanta","34.018777","-84.491022","cryotherapy|infrared_sauna|compression|red_light","unpublished",,,,"",,,,,"Monday-Friday 8am-8pm, Saturday-Sunday 10am-4pm","https://icryo.com/location/marietta-ga/","https://icryo.com/location/marietta-ga/","+1-770-851-2370","https://findsaunaplunge.com/venue/icryo-marietta-atlanta-ga/"
"do-not-disturb-atlanta-atlanta-ga","Do Not Disturb Atlanta","community","2026-08-16",,"675 Ponce De Leon Ave NE E186","Atlanta","GA","30308","atlanta-ga","Atlanta","33.773273","-84.365183","cold_plunge|traditional_sauna|red_light|compression","private_suite","60",,,"",,,,,"Monday-Friday 10:00 AM - 8:00 PM","https://www.donotdisturbatl.com/","https://donotdisturb.zenoti.com/webstoreNew/services","+1-404-590-6408","https://findsaunaplunge.com/venue/do-not-disturb-atlanta-atlanta-ga/"
"the-salt-center-atlanta-ga","The Salt Center","community","2026-08-16",,"2650 Holcomb Bridge Rd, Suite #410","Alpharetta","GA","30022","atlanta-ga","Atlanta","33.995864","-84.282376","cold_plunge|traditional_sauna","private_suite",,,,"","40","40","160","210",,"https://www.thesaltcenter.com/contrast-therapy",,"+1-770-676-7040","https://findsaunaplunge.com/venue/the-salt-center-atlanta-ga/"
"icebox-cryotherapy-buckhead-atlanta-ga","Icebox Cryotherapy - Buckhead","community","2026-08-16",,"3872 Roswell Rd NE A2","Atlanta","GA","30342","atlanta-ga","Atlanta","33.860618","-84.380563","cryotherapy|compression|red_light","unpublished","40",,,"",,,,,"Monday-Thursday 9:00 AM - 7:00 PM","https://iceboxtherapy.com/buckhead-ga/",,"+1-404-890-7066","https://findsaunaplunge.com/venue/icebox-cryotherapy-buckhead-atlanta-ga/"
"icebox-cryotherapy-midtown-atlanta-ga","Icebox Cryotherapy - Midtown","community","2026-08-24",,"985 Monroe Dr NE Suite H","Atlanta","GA","30308","atlanta-ga","Atlanta","33.781219","-84.368778","cryotherapy|compression|red_light","unpublished",,,,"",,,,,,"https://iceboxtherapy.com/aboutus/icebox-midtown/",,"+1-470-805-0880","https://findsaunaplunge.com/venue/icebox-cryotherapy-midtown-atlanta-ga/"
"glow-sauna-studios-sandy-springs-atlanta-ga","Glow Sauna Studios - Sandy Springs","community","2026-08-16",,"5982 Roswell Road NE","Sandy Springs","GA","30328","atlanta-ga","Atlanta","33.918592","-84.379127","infrared_sauna|red_light","unpublished",,,,"",,,,,"Monday-Thursday 8:00AM-9:00PM","https://glowsaunastudios.com/sandy-springs/","https://glowsaunastudios.com/sandy-springs/book-appointment/","+1-678-850-9462","https://findsaunaplunge.com/venue/glow-sauna-studios-sandy-springs-atlanta-ga/"
"pause-studio-buckhead-atlanta-ga","Pause Studio Buckhead","community","2026-08-16",,"3535 Northside Pkwy NW Suite 3516","Atlanta","GA","30327","atlanta-ga","Atlanta","33.849743","-84.430103","cold_plunge|infrared_sauna|cryotherapy|float|red_light|compression","private_suite",,,,"",,,,,,"https://pausestudio.com/locations/buckhead","https://pausestudio.com/buckhead/contrast-therapy","+1-404-495-5155","https://findsaunaplunge.com/venue/pause-studio-buckhead-atlanta-ga/"
"pause-studio-east-cobb-marietta-atlanta-ga","Pause Studio East Cobb - Marietta","community","2026-08-16",,"4475 Roswell Rd","Marietta","GA","30062","atlanta-ga","Atlanta","33.986385","-84.421915","cold_plunge|infrared_sauna|cryotherapy|float|red_light|compression","private_suite",,,,"",,,,,,"https://pausestudio.com/locations/east-cobb","https://pausestudio.com/east-cobb/contrast-therapy","+1-678-403-2558","https://findsaunaplunge.com/venue/pause-studio-east-cobb-marietta-atlanta-ga/"
"switzhouse-atlanta-ga","SWITZHOUSE","community","2026-08-16",,"1301 Shiloh Rd. NW, #860","Kennesaw","GA","30144","atlanta-ga","Atlanta","34.048897","-84.589322","cold_plunge|infrared_sauna","unpublished",,,,"","48","48",,,"Open daily 8:00 AM - 7:00 PM","https://switzhouse.com/",,"+1-678-232-4800","https://findsaunaplunge.com/venue/switzhouse-atlanta-ga/"
"studio-recovery-marietta-atlanta-ga","Studio Recovery","community","2026-08-16",,"3894 Due West Rd NW, Suite# 265","Marietta","GA","30064","atlanta-ga","Atlanta","33.967739","-84.665339","cryotherapy|infrared_sauna|compression|red_light","unpublished","45",,"149","",,,,,,"https://studiorecovery.com/","https://studiorecovery.com/our-prices/","+1-678-379-1547","https://findsaunaplunge.com/venue/studio-recovery-marietta-atlanta-ga/"
"restore-hyper-wellness-buford-atlanta-ga","Restore Hyper Wellness - Buford","community","2026-08-16",,"2925 Buford Dr., Suite 2525","Buford","GA","30519","atlanta-ga","Atlanta","34.051241","-83.993768","infrared_sauna|cryotherapy|compression|red_light","unpublished",,,,"",,,,,"Monday-Friday 10AM-7PM, Saturday 9AM-5PM, Sunday 11AM-5PM","https://www.restore.com/locations/ga-buford-ga020","https://www.restore.com/locations/ga-buford-ga020","+1-470-589-1164","https://findsaunaplunge.com/venue/restore-hyper-wellness-buford-atlanta-ga/"
"restore-hyper-wellness-woodstock-atlanta-ga","Restore Hyper Wellness - Woodstock","community","2026-08-16",,"420 Chambers Street","Woodstock","GA","30188","atlanta-ga","Atlanta","34.100056","-84.519051","infrared_sauna|cryotherapy|compression|red_light","unpublished",,,,"",,,,,"Monday-Friday 10AM-7PM, Saturday 9AM-5PM, Sunday 11AM-5PM","https://www.restore.com/locations/ga-woodstock-ga009","https://www.restore.com/locations/ga-woodstock-ga009","+1-770-637-3092","https://findsaunaplunge.com/venue/restore-hyper-wellness-woodstock-atlanta-ga/"
"restore-hyper-wellness-peachtree-city-atlanta-ga","Restore Hyper Wellness - Peachtree City","community","2026-08-16",,"1202 N Peachtree Pkwy","Peachtree City","GA","30269","atlanta-ga","Atlanta","33.441115","-84.589923","infrared_sauna|cryotherapy|compression|red_light","unpublished",,,,"",,,,,"Monday-Friday 10AM-7PM, Saturday-Sunday 10AM-5PM","https://www.restore.com/locations/ga-peachtree-city-ga019","https://www.restore.com/locations/ga-peachtree-city-ga019","+1-770-629-7545","https://findsaunaplunge.com/venue/restore-hyper-wellness-peachtree-city-atlanta-ga/"
"life-time-alpharetta-atlanta-ga","Life Time Alpharetta","brand_import","2026-08-26","life-time","855 North Point Pkwy","Alpharetta","GA","30005","atlanta-ga","Atlanta","34.07979934","-84.2618766","cold_plunge|steam_room|traditional_sauna","communal",,,,"",,,,,"Mon–Fri 4:00am–12:00am, Sat–Sun 6:00am–11:00pm","https://www.lifetime.life/locations/ga/alpharetta/amenities.html",,"+1-770-664-9696","https://findsaunaplunge.com/venue/life-time-alpharetta-atlanta-ga/"
"life-time-johns-creek-atlanta-ga","Life Time Johns Creek","brand_import","2026-08-26","life-time","11555 Johns Creek Pkwy","Johns Creek","GA","30097","atlanta-ga","Atlanta","34.06086652","-84.16707917","cold_plunge|steam_room|traditional_sauna","communal",,,,"",,,,,"Mon–Fri 4:00am–12:00am, Sat–Sun 6:00am–11:00pm","https://www.lifetime.life/locations/ga/johns-creek/amenities.html",,"+1-770-495-7800","https://findsaunaplunge.com/venue/life-time-johns-creek-atlanta-ga/"
"life-time-north-druid-hills-atlanta-ga","Life Time North Druid Hills","brand_import","2026-08-26","life-time","1515 Sheridan Rd NE","Atlanta","GA","30324","atlanta-ga","Atlanta","33.82418103","-84.33784364","cold_plunge|steam_room|traditional_sauna","communal",,,,"",,,,,"Mon–Fri 4:00am–12:00am, Sat–Sun 6:00am–11:00pm","https://www.lifetime.life/locations/ga/north-druid-hills/amenities.html",,"+1-404-682-6150","https://findsaunaplunge.com/venue/life-time-north-druid-hills-atlanta-ga/"
"life-time-perimeter-atlanta-ga","Life Time Perimeter","brand_import","2026-08-26","life-time","8 Concourse Pkwy","Atlanta","GA","30328","atlanta-ga","Atlanta","33.91597703","-84.3556606","cold_plunge|steam_room|traditional_sauna|infrared_sauna","communal",,,,"",,,,,"Mon–Fri 4:00am–12:00am, Sat–Sun 6:00am–11:00pm","https://www.lifetime.life/locations/ga/perimeter/amenities.html",,"+1-770-743-3600","https://findsaunaplunge.com/venue/life-time-perimeter-atlanta-ga/"
